expo,table,project,sponsors,link,category
1,1,BizReport,,http://profhacks17.devpost.com/submissions/66314-bizreport,Business
1,2,a2b,Particle - Smart Cities IoT,http://profhacks17.devpost.com/submissions/66489-a2b,Business
1,3,SchedulesU,Amazon Web Services - Best Use of AWS,http://profhacks17.devpost.com/submissions/66495-schedulesu,Business
1,4,MouseLess,.Tech Domain,http://profhacks17.devpost.com/submissions/66498-mouseless,Business
1,5,Lyre,,http://profhacks17.devpost.com/submissions/66530-lyre,Business
1,6,TUGO,,http://profhacks17.devpost.com/submissions/66541-tugo,Business
1,7,[b]Roomie,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS",http://profhacks17.devpost.com/submissions/66547-b-roomie,Business
1,8,Expediter,Amazon Web Services - Best Use of AWS,http://profhacks17.devpost.com/submissions/66565-expediter,Business
1,9,Cyber Stopper,#HackHarassment,http://profhacks17.devpost.com/submissions/66570-cyber-stopper,Business
1,10,PebbleDraw,.Tech Domain,http://profhacks17.devpost.com/submissions/66443-pebbledraw,Sensor Journalism
1,11,Elysian Hand Touch,,http://profhacks17.devpost.com/submissions/66526-elysian-hand-touch,Sensor Journalism
1,12,Survival,,http://profhacks17.devpost.com/submissions/66558-survival,Sensor Journalism
1,13,OniPath,Best Domain Name from Domain.com,http://profhacks17.devpost.com/submissions/66561-onipath,Sensor Journalism
1,14,Poppy the Penguin,.Tech Domain,http://profhacks17.devpost.com/submissions/66505-poppy-the-penguin,Systems Engineering
1,15,Ballroom Kinection,"Best Domain Name from Domain.com, #HackHarassment",http://profhacks17.devpost.com/submissions/66509-ballroom-kinection,Systems Engineering
1,16,Alexa's Photon Smart Home,Particle - Smart Cities IoT,http://profhacks17.devpost.com/submissions/66517-alexa-s-photon-smart-home,Systems Engineering
1,17,Battle Bot - Ian Sean,,http://profhacks17.devpost.com/submissions/66540-battle-bot-ian-sean,Systems Engineering
1,18,Light_controller,,http://profhacks17.devpost.com/submissions/66546-light_controller,Systems Engineering
1,19,Air!,,http://profhacks17.devpost.com/submissions/66552-air,Systems Engineering
1,20,Ardwasome,,http://profhacks17.devpost.com/submissions/66559-ardwasome,Systems Engineering
1,21,Social Well,"Amazon Web Services - Best Use of AWS, #HackHarassment",http://profhacks17.devpost.com/submissions/66562-social-well,Systems Engineering
1,22,"PartyBuddy, a party hosting app",,http://profhacks17.devpost.com/submissions/66569-partybuddy-a-party-hosting-app,Systems Engineering
1,23,IT Simulator 2017,,http://profhacks17.devpost.com/submissions/66371-it-simulator-2017,
1,24,Ceci n'est pas un website,Best Domain Name from Domain.com,http://profhacks17.devpost.com/submissions/66430-ceci-n-est-pas-un-website,
1,25,Adaptive Website Interface,Best Domain Name from Domain.com,http://profhacks17.devpost.com/submissions/66442-adaptive-website-interface,
1,26,Emergency Mobile Data Backup,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS",http://profhacks17.devpost.com/submissions/66470-emergency-mobile-data-backup,
1,27,Domain Submission Dom and Noah,Best Domain Name from Domain.com,http://profhacks17.devpost.com/submissions/66471-domain-submission-dom-and-noah,
1,28,What Is Really Happening,".Tech Domain, Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS",http://profhacks17.devpost.com/submissions/66506-what-is-really-happening,
1,29,Simple Home Invasion Alert System with Text Alert,,http://profhacks17.devpost.com/submissions/66511-simple-home-invasion-alert-system-with-text-alert,
1,30,Gittale,,http://profhacks17.devpost.com/submissions/66532-gittale,
1,31,Safe Houses,#HackHarassment,http://profhacks17.devpost.com/submissions/66535-safe-houses,
1,32,Protest,,http://profhacks17.devpost.com/submissions/66544-protest,
1,33,Airochord,,http://profhacks17.devpost.com/submissions/66545-airochord,
1,34,Crooked News Network,"Best Domain Name from Domain.com, Amazon Web Services - Best Use of AWS",http://profhacks17.devpost.com/submissions/66548-crooked-news-network,
1,35,MorseCodetoEnglish,,http://profhacks17.devpost.com/submissions/66549-morsecodetoenglish,
1,36,VoiceCalc,Best Domain Name from Domain.com,http://profhacks17.devpost.com/submissions/66578-voicecalc,
